InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04
0.999817984306425 0.000000106732273 0.000090191209311 0.000091615696581 0.000000102055411
0.999817774215474 0.000000211551576 0.000090191196465 0.000091615674889 0.000000207361596
0.999817555239053 0.000000320080759 0.000090191183080 0.000091615652403 0.000000317844705
0.999817327101157 0.000000432427141 0.000090191169140 0.000091615629096 0.000000433673466
0.999817089512746 0.000000548709608 0.000090191154626 0.000091615604942 0.000000555018078
0.999816842183226 0.000000669047741 0.000090191139522 0.000091615579917 0.000000682049595
0.999816584822915 0.000000793560012 0.000090191123809 0.000091615553993 0.000000814939269
0.999816317144409 0.000000922363014 0.000090191107471 0.000091615527146 0.000000953857960
0.999816038863731 0.000001055570898 0.000090191090489 0.000091615499350 0.000001098975531
0.999815749701447 0.000001193294885 0.000090191072848 0.000091615470580 0.000001250460240
0.999815449383769 0.000001335642783 0.000090191054530 0.000091615440812 0.000001408478106
0.999815137643679 0.000001482718520 0.000090191035519 0.000091615410021 0.000001573192262
0.999814814222040 0.000001634621674 0.000090191015799 0.000091615378185 0.000001744762303
0.999814478868709 0.000001791447029 0.000090190995355 0.000091615345281 0.000001923343627
0.999814131343666 0.000001953284102 0.000090190974173 0.000091615311287 0.000002109086772
0.999813771418061 0.000002120216742 0.000090190952238 0.000091615276185 0.000002302136774
0.999813398875289 0.000002292322698 0.000090190929538 0.000091615239953 0.000002502632522
0.999813013511988 0.000002469673236 0.000090190906060 0.000091615202574 0.000002710706143
0.999812615138986 0.000002652332784 0.000090190881791 0.000091615164031 0.000002926482408
0.999812203582192 0.000002840358602 0.000090190856723 0.000091615124308 0.000003150078175
0.999811778683400 0.000003033800497 0.000090190830844 0.000091615083392 0.000003381601866
0.999811340301006 0.000003232700584 0.000090190804147 0.000091615041269 0.000003621152994
0.999810888310656 0.000003437093063 0.000090190776623 0.000091614997929 0.000003868821729
0.999810422605769 0.000003647004076 0.000090190748266 0.000091614953362 0.000004124688526
0.999809943097944 0.000003862451608 0.000090190719071 0.000091614907560 0.000004388823817
0.999809449717297 0.000004083445403 0.000090190689032 0.000091614860517 0.000004661287750
0.999808942412618 0.000004309986998 0.000090190658148 0.000091614812228 0.000004942130008
0.999808421151464 0.000004542069744 0.000090190626415 0.000091614762691 0.000005231389686
0.999807885920096 0.000004779678926 0.000090190593833 0.000091614711904 0.000005529095242
0.999807336723336 0.000005022791893 0.000090190560402 0.000091614659867 0.000005835264502
0.999806773584274 0.000005271378267 0.000090190526124 0.000091614606583 0.000006149904752
0.999806196543860 0.000005525400201 0.000090190490999 0.000091614552056 0.000006473012884
0.999805605660438 0.000005784812641 0.000090190455033 0.000091614496289 0.000006804575599
0.999805001009127 0.000006049563671 0.000090190418229 0.000091614439291 0.000007144569681
0.999804382681127 0.000006319594884 0.000090190380593 0.000091614381070 0.000007492962326
0.999803750782970 0.000006594841755 0.000090190342130 0.000091614321634 0.000007849711510
0.999803105435655 0.000006875234082 0.000090190302849 0.000091614260995 0.000008214766418
0.999802446773770 0.000007160696412 0.000090190262757 0.000091614199165 0.000008588067896
0.999801774944507 0.000007451148516 0.000090190221864 0.000091614136157 0.000008969548957
0.999801090106697 0.000007746505843 0.000090190180177 0.000091614071984 0.000009359135298
0.999800392429768 0.000008046680008 0.000090190137709 0.000091614006663 0.000009756745852
0.999799682092692 0.000008351579282 0.000090190094468 0.000091613940209 0.000010162293349
0.999798959282940 0.000008661109063 0.000090190050468 0.000091613872638 0.000010575684891
0.999798224195454 0.000008975172333 0.000090190005719 0.000091613803970 0.000010996822525
0.999797477031584 0.000009293670136 0.000090189960233 0.000091613734220 0.000011425603828
0.999796717998057 0.000009616502034 0.000090189914023 0.000091613663408 0.000011861922477
0.999795947306000 0.000009943566534 0.000090189867102 0.000091613591552 0.000012305668811
0.999795165169988 0.000010274761482 0.000090189819482 0.000091613518672 0.000012756730375
0.999794371807093 0.000010609984484 0.000090189771177 0.000091613444788 0.000013214992459
0.999793567436028 0.000010949133259 0.000090189722200 0.000091613369918 0.000013680338595
0.999792752276333 0.000011292105973 0.000090189672564 0.000091613294082 0.000014152651048
0.999791926547562 0.000011638801581 0.000090189622282 0.000091613217300 0.000014631811275
0.999791090468595 0.000011989120093 0.000090189571367 0.000091613139591 0.000015117700353
0.999790244256944 0.000012342962864 0.000090189519833 0.000091613060976 0.000015610199384
0.999789388128146 0.000012700232824 0.000090189467693 0.000091612981472 0.000016109189865
0.999788522295223 0.000013060834687 0.000090189414959 0.000091612901099 0.000016614554032
0.999787646968193 0.000013424675125 0.000090189361644 0.000091612819876 0.000017126175161
0.999786762353595 0.000013791662957 0.000090189307761 0.000091612737822 0.000017643937865
0.999785868654112 0.000014161709275 0.000090189253322 0.000091612654953 0.000018167728338
0.999784966068261 0.000014534727543 0.000090189198339 0.000091612571289 0.000018697434568
0.999784054790054 0.000014910633721 0.000090189142823 0.000091612486846 0.000019232946555
0.999783135008786 0.000015289346324 0.000090189086787 0.000091612401642 0.000019774156461
0.999782206908829 0.000015670786477 0.000090189030241 0.000091612315692 0.000020320958761
0.999781270669477 0.000016054877950 0.000090188973196 0.000091612229013 0.000020873250364
0.999780326464852 0.000016441547165 0.000090188915663 0.000091612141621 0.000021430930699
0.999779374463755 0.000016830723252 0.000090188857651 0.000091612053529 0.000021993901812
0.999778414829699 0.000017222337975 0.000090188799172 0.000091611964754 0.000022562068400
0.999777447720824 0.000017616325763 0.000090188740234 0.000091611875309 0.000023135337870
0.999776473289923 0.000018012623667 0.000090188680846 0.000091611785208 0.000023713620356
0.999775491684477 0.000018411171318 0.000090188621019 0.000091611694463 0.000024296828724
0.999774503046695 0.000018811910883 0.000090188560759 0.000091611603088 0.000024884878575
0.999773507513594 0.000019214787013 0.000090188500076 0.000091611511095 0.000025477688222
0.999772505217097 0.000019619746765 0.000090188438978 0.000091611418496 0.000026075178664
0.999771496284071 0.000020026739588 0.000090188377472 0.000091611325301 0.000026677273567
0.999770480836525 0.000020435717191 0.000090188315566 0.000091611231523 0.000027283899196
0.999769458991643 0.000020846633535 0.000090188253266 0.000091611137171 0.000027894984385
0.999768430861979 0.000021259444713 0.000090188190581 0.000091611042255 0.000028510460473
0.999767396555595 0.000021674108871 0.000090188127515 0.000091610946785 0.000029130261233
0.999766356176127 0.000022090586189 0.000090188064076 0.000091610850770 0.000029754322838
0.999765309823003 0.000022508838744 0.000090188000270 0.000091610754219 0.000030382583763
0.999764257591567 0.000022928830459 0.000090187936102 0.000091610657142 0.000031014984729
